CITY,STREET_ADDRESS,STATE,COUNTRY,DISTRICT,COUNTRY,POSTCODE
Abohar,,Punjab,India,,,
Adilabad,,Telangana,India,,,
Agartala,,Tripura,India,,,
Agra,,Uttar Pradesh,India,,,
Ahmadnagar,,Maharashtra,India,,,
Ahmedabad,,Gujarat,India,,,
Aizawl  ,,Mizoram,India,,,
Ajmer,,Rajasthan,India,,,
Akola,,Maharashtra,India,,,
Alappuzha,,Kerala,India,,,
Aligarh,,Uttar Pradesh,India,,,
Alipurduar,,West Bengal,India,,,
Allahabad,,Uttar Pradesh,India,,,
Alwar,,Rajasthan,India,,,
Ambala,,Haryana,India,,,
Amaravati,,Maharashtra,India,,,
Amritsar,,Punjab,India,,,
Asansol,,West Bengal,India,,,
Aurangabad,,Maharashtra,India,,,
Aurangabad,,Bihar,India,,,
Bakshpur,,Uttar Pradesh,India,,,
Bamanpuri,,Uttar Pradesh,India,,,
Baramula,,Jammu and Kashmir,India,,,
Barddhaman,,West Bengal,India,,,
Bareilly,,Uttar Pradesh,India,,,
Belgaum,,Karnataka,India,,,
Bellary,,Karnataka,India,,,
Bengaluru,,Karnataka,India,,,
Bhagalpur,,Bihar,India,,,
Bharatpur,,Rajasthan,India,,,
Bharauri,,Uttar Pradesh,India,,,
Bhatpara,,West Bengal,India,,,
Bhavnagar,,Gujarat,India,,,
Bhilai,,Chhattisgarh,India,,,
Bhilwara,,Rajasthan,India,,,
Bhiwandi,,Maharashtra,India,,,
Bhiwani,,Haryana,India,,,
Bhopal ,,Madhya Pradesh,India,,,
Bhubaneshwar,,Odisha,India,,,
Bhuj,,Gujarat,India,,,
Bhusaval,,Maharashtra,India,,,
Bidar,,Karnataka,India,,,
Bijapur,,Karnataka,India,,,
Bikaner,,Rajasthan,India,,,
Bilaspur,,Chhattisgarh,India,,,
Brahmapur,,Odisha,India,,,
Budaun,,Uttar Pradesh,India,,,
Bulandshahr,,Uttar Pradesh,India,,,
Calicut,,Kerala,India,,,
Chanda,,Maharashtra,India,,,
Chandigarh ,,Chandigarh,India,,,
Chennai,,Tamil Nadu ,India,,,
Chikka Mandya,,Karnataka,India,,,
Chirala,,Andhra Pradesh,India,,,
Coimbatore,,Tamil Nadu ,India,,,
Cuddalore,,Tamil Nadu ,India,,,
Cuttack,,Odisha,India,,,
Daman,,Daman and Diu,India,,,
Davangere,,Karnataka,India,,,
DehraDun,,Uttarakhand,India,,,
Delhi,,Delhi,India,,,
Dhanbad,,Jharkhand,India,,,
Dibrugarh,,Assam,India,,,
Dindigul,,Tamil Nadu ,India,,,
Dispur,,Assam,India,,,
Diu,,Daman and Diu,India,,,
Faridabad,,Haryana,India,,,
Firozabad,,Uttar Pradesh,India,,,
Fyzabad,,Uttar Pradesh,India,,,
Gangtok,,Sikkim,India,,,
Gaya,,Bihar,India,,,
Ghandinagar,,Gujarat,India,,,
Ghaziabad,,Uttar Pradesh,India,,,
Gopalpur,,Uttar Pradesh,India,,,
Gulbarga,,Karnataka,India,,,
Guntur,,Andhra Pradesh,India,,,
Gurugram,,Haryana,India,,,
Guwahati,,Assam,India,,,
Gwalior,,Madhya Pradesh,India,,,
Haldia,,West Bengal,India,,,
Haora,,West Bengal,India,,,
Hapur,,Uttar Pradesh,India,,,
Haripur,,Punjab,India,,,
Hata,,Uttar Pradesh,India,,,
Hindupur,,Andhra Pradesh,India,,,
Hisar,,Haryana,India,,,
Hospet,,Karnataka,India,,,
Hubli,,Karnataka,India,,,
Hyderabad,,Telangana,India,,,
Imphal,,Manipur,India,,,
Indore,,Madhya Pradesh,India,,,
Itanagar,,Arunachal Pradesh,India,,,
Jabalpur,,Madhya Pradesh,India,,,
Jaipur,,Rajasthan,India,,,
Jammu,,Jammu and Kashmir,India,,,
Jamshedpur,,Jharkhand,India,,,
Jhansi,,Uttar Pradesh,India,,,
Jodhpur,,Rajasthan,India,,,
Jorhat,,Assam,India,,,
Kagaznagar,,Andhra Pradesh,India,,,
Kakinada,,Andhra Pradesh,India,,,
Kalyan,,Maharashtra,India,,,
Karimnagar,,Telangana,India,,,
Karnal,,Haryana,India,,,
Karur,,Tamil Nadu ,India,,,
Kavaratti,,Lakshadweep,India,,,
Khammam,,Telangana,India,,,
Khanapur,,Maharashtra,India,,,
Kochi,,Kerala,India,,,
Kohima,,Nagaland,India,,,
Kolar,,Karnataka,India,,,
Kolhapur,,Maharashtra,India,,,
Kolkata ,,West Bengal,India,,,
Kollam,,Kerala,India,,,
Kota,,Rajasthan,India,,,
Krishnanagar,,West Bengal,India,,,
Krishnapuram,,Tamil Nadu ,India,,,
Kumbakonam,,Tamil Nadu ,India,,,
Kurnool,,Andhra Pradesh,India,,,
Latur,,Maharashtra,India,,,
Lucknow,,Uttar Pradesh,India,,,
Ludhiana,,Punjab,India,,,
Machilipatnam,,Andhra Pradesh,India,,,
Madurai,,Tamil Nadu ,India,,,
Mahabubnagar,,Telangana,India,,,
Malegaon Camp,,Maharashtra,India,,,
Mangalore,,Karnataka,India,,,
Mathura,,Uttar Pradesh,India,,,
Meerut,,Uttar Pradesh,India,,,
Mirzapur,,Uttar Pradesh,India,,,
Moradabad,,Uttar Pradesh,India,,,
Mumbai,,Maharashtra,India,,,
Muzaffarnagar,,Uttar Pradesh,India,,,
Muzaffarpur,,Bihar,India,,,
Mysore,,Karnataka,India,,,
Nagercoil,,Tamil Nadu ,India,,,
Nalgonda,,Telangana,India,,,
Nanded,,Maharashtra,India,,,
Nandyal,,Andhra Pradesh,India,,,
Nasik,,Maharashtra,India,,,
Navsari,,Gujarat,India,,,
Nellore,,Andhra Pradesh,India,,,
New Delhi,,Delhi,India,,,
Nizamabad,,Telangana,India,,,
Ongole,,Andhra Pradesh,India,,,
Pali,,Rajasthan,India,,,
Panaji,,Goa,India,,,
Panchkula,,Haryana,India,,,
Panipat,,Haryana,India,,,
Parbhani,,Maharashtra,India,,,
Pathankot,,Punjab,India,,,
Patiala,,Punjab,India,,,
Patna,,Bihar,India,,,
Pilibhit,,Uttar Pradesh,India,,,
Porbandar,,Gujarat,India,,,
Port Blair,,Andaman and Nicobar Islands,India,,,
Proddatur,,Andhra Pradesh,India,,,
Puducherry,,Puducherry,India,,,
Pune,,Maharashtra,India,,,
Puri,,Odisha,India,,,
Purnea,,Bihar,India,,,
Raichur,,Karnataka,India,,,
Raipur,,Chhattisgarh,India,,,
Rajahmundry,,Andhra Pradesh,India,,,
Rajapalaiyam,,Tamil Nadu ,India,,,
Rajkot,,Gujarat,India,,,
Ramagundam,,Telangana,India,,,
Rampura,,Rajasthan,India,,,
Ranchi,,Jharkhand,India,,,
Ratlam,,Madhya Pradesh,India,,,
Raurkela,,Odisha,India,,,
Rohtak,,Haryana,India,,,
Saharanpur,,Uttar Pradesh,India,,,
Saidapur,,Uttar Pradesh,India,,,
Saidpur,,Jammu and Kashmir,India,,,
Salem,,Tamil Nadu ,India,,,
Samlaipadar,,Odisha,India,,,
Sangli,,Maharashtra,India,,,
Saugor,,Madhya Pradesh,India,,,
Shahbazpur,,Uttar Pradesh,India,,,
Shiliguri,,West Bengal,India,,,
Shillong ,,Meghalaya,India,,,
Shimla,,Himachal Pradesh,India,,,
Shimoga,,Karnataka,India,,,
Sikar,,Rajasthan,India,,,
Silchar,,Assam,India,,,
Silvassa,,Dadra and Nagar Haveli,India,,,
Sirsa,,Haryana,India,,,
Sonipat,,Haryana,India,,,
Srinagar,,Jammu and Kashmir,India,,,
Surat,,Gujarat,India,,,
Tezpur,,Assam,India,,,
Thanjavur,,Tamil Nadu ,India,,,
Tharati Etawah,,Uttar Pradesh,India,,,
Thiruvananthapuram,,Kerala,India,,,
Tiruchchirappalli,,Tamil Nadu ,India,,,
Tirunelveli,,Tamil Nadu ,India,,,
Tirupati,,Andhra Pradesh,India,,,
Tiruvannamalai,,Tamil Nadu ,India,,,
Tonk,,Rajasthan,India,,,
Tuticorin,,Tamil Nadu ,India,,,
Udaipur,,Rajasthan,India,,,
Ujjain,,Madhya Pradesh,India,,,
Vadodara,,Gujarat,India,,,
Valparai,,Tamil Nadu ,India,,,
Varanasi,,Uttar Pradesh,India,,,
Vellore,,Tamil Nadu ,India,,,
Vishakhapatnam,,Andhra Pradesh,India,,,
Vizianagaram,,Andhra Pradesh,India,,,
Warangal,,Telangana,India,,,
Jorapokhar,,Jharkhand,India,,,
Brajrajnagar,,Odisha,India,,,
Talcher,,Odisha,India,,,
